name,inc_date,start_date,status,address,taxid,phone,buss_cls,owner
CÔNG TY TNHH THƯƠNG MẠI XUẤT NHẬP KHẨU LÂM SẢN TRUNG SƠN,14/01/2022,14/01/2022, Đang Hoạt Động ,"Thôn Cẩy, Xã Hương Sơn, Huyện Lạng Giang, Bắc Giang",2400931624,0869215094,Công Ty TNHH MTV Ngoài Quốc Doanh,Vi Văn Chung
CÔNG TY CỔ PHẦN SẢN XUẤT VÀ THƯƠNG MẠI PHÁT ĐẠT VIỆT NAM,14/01/2022,14/01/2022, Đang Hoạt Động ,"Xóm Hoàng Vân, Xã Song Vân, Huyện Tân Yên, Bắc Giang",2400931617,0944707888,Công Ty Cổ Phần Ngoài Quốc Doanh (100% Vốn Tư Nhân),Nguyễn Chí Thanh
CÔNG TY TNHH SẢN XUẤT VÀ THƯƠNG MẠI TUẤN ĐẠO,14/01/2022,14/01/2022, Đang Hoạt Động ,"Thôn Ninh Phú, Xã Tuấn Đạo, Huyện Sơn Động, Bắc Giang",2400931582,0972879026,Công Ty TNHH MTV Ngoài Quốc Doanh,Trần Thị Thúy
CÔNG TY TNHH BV LOGISTICS,14/01/2022,14/01/2022, Đang Hoạt Động ,"Số 10 Nguyễn Đăng Đạo, Phường Tiền An, Thành Phố Bắc Ninh, Bắc Ninh",2301200013,0935368088,Công Ty TNHH MTV Ngoài Quốc Doanh,Trịnh Văn Tỉnh
CÔNG TY TNHH TM TỔNG HỢP MINH ĐĂNG,14/01/2022,14/01/2022, Đang Hoạt Động ,"Thôn Đại Vi, Xã Đại Đồng, Huyện Tiên Du, Bắc Ninh",2301199960,0904379083,Công Ty TNHH MTV Ngoài Quốc Doanh,Trần Thị Lan
CÔNG TY TNHH CÔNG NGHỆ DỊCH VỤ VÀ THƯƠNG MẠI SMART,14/01/2022,14/01/2022, Đang Hoạt Động ,"Số 04 Đường Đoàn Trần Nghiệp, Phường Đại Phúc, Thành Phố Bắc Ninh, Bắc Ninh",2301199953,0333232237,Công Ty TNHH MTV Ngoài Quốc Doanh,Đặng Như Quỳnh
CÔNG TY TNHH VLXD THUẬN HƯNG,14/01/2022,14/01/2022, Đang Hoạt Động ,"Số 64 Điện Biên Phủ, Khóm 3, Phường 6, Thành Phố Sóc Trăng, Sóc Trăng",2200798460,0946188333,Công Ty TNHH MTV Ngoài Quốc Doanh,Nguyễn Thị Điệp
CÔNG TY TNHH THIẾT KẾ VÀ QUẢNG CÁO NGUYỄN CƯỜNG,14/01/2022,14/01/2022, Đang Hoạt Động ,"Số 48 Đường Tỉnh 934, Ấp Châu Thành, Thị Trấn Mỹ Xuyên, Huyện Mỹ Xuyên, Sóc Trăng",2200798453,0907171275,Công Ty TNHH MTV Ngoài Quốc Doanh,Nguyễn Văn Cường
CÔNG TY TNHH TƯ VẤN XÂY DỰNG QUỐC ÂN,14/01/2022,14/01/2022, Đang Hoạt Động ,"Ấp Rạch Gốc, Xã Long Hòa, Huyện Châu Thành, Trà Vinh",2100672640,0963854487,Công Ty TNHH MTV Ngoài Quốc Doanh,Lê Thị Muội
CÔNG TY TNHH THƯƠNG MẠI SẢN XUẤT VẬT LIỆU XÂY DỰNG VÀ TRANG TRÍ NỘI THẤT THỊNH VƯỢNG,14/01/2022,14/01/2022, Đang Hoạt Động ,"Ấp Phước Thạnh 1, Xã Long Thạnh, Huyện Vĩnh Lợi, Bạc Liêu",1900683093,0903084419,Công Ty TNHH MTV Ngoài Quốc Doanh,Ngô Ngọc Thạch
CÔNG TY TNHH ĐỒNG HIỆP PHÁT BẠC LIÊU,14/01/2022,14/01/2022, Đang Hoạt Động ,"Số 26, Đường Lê Duẩn, Khóm 7, Phường 1, Thành Phố Bạc Liêu, Bạc Liêu",1900683086,0939272468,Công Ty TNHH MTV Ngoài Quốc Doanh,Tiêu Quỳnh Quang
CÔNG TY TNHH MỘT THÀNH VIÊN HÙNG PHÁT BẠC LIÊU,14/01/2022,14/01/2022, Đang Hoạt Động ,"Tỉnh Lộ 38, Ấp Công Điền, Xã Vĩnh Trạch, Thành Phố Bạc Liêu, Bạc Liêu",1900683079,0913 311 499,Công Ty TNHH MTV Ngoài Quốc Doanh,Phù Minh Điền
CÔNG TY TNHH MỘT THÀNH VIÊN ĐẦU TƯ KINH DOANH BẤT ĐỘNG SẢN PHÚC KHANG,14/01/2022,14/01/2022, Đang Hoạt Động ,"Ấp Gò Cát, Xã Điền Hải, Huyện Đông Hải, Bạc Liêu",1900683061,0896655676 - 0917230,Công Ty TNHH MTV Ngoài Quốc Doanh,Nguyễn Diễm Mi
CÔNG TY CỔ PHẦN THƯƠNG MẠI DỊCH VỤ ĐẦU TƯ HOÀNG GIA CORPORATION,14/01/2022,14/01/2022, Đang Hoạt Động ,"Ngõ 68 Đường 30/4, Khu Phố 1, Phường Dương Đông, Thành Phố Phú Quốc, Kiên Giang",1702246983,0971691616,Công Ty Cổ Phần Ngoài Quốc Doanh (100% Vốn Tư Nhân),Nguyễn Huy Hoàng
CÔNG TY TNHH XÂY DỰNG THƯƠNG MẠI & DỊCH VỤ HƯNG PHÁT BÌNH,14/01/2022,14/01/2022, Đang Hoạt Động ,"Số 508, Ấp An Phú, Xã Mỹ An Hưng B, Huyện Lấp Vò, Đồng Tháp",1402174512,0907 258 464,Công Ty TNHH MTV Ngoài Quốc Doanh,Nguyễn Thanh Bình
CÔNG TY TNHH NGUYỄN CHỮ NHỨT ANH,14/01/2022,14/01/2022, Đang Hoạt Động ,"Số 141, Tổ 8, Ấp Vinh Huê, Xã Vang Quới Đông, Huyện Bình Đại, Bến Tre",1301113873,0399075954,Công Ty TNHH MTV Ngoài Quốc Doanh,Nguyễn Tấn Hưng
CÔNG TY TRÁCH NHIỆM HỮU HẠN MỘT THÀNH VIÊN DỊCH VỤ DỪA PHÚ LỘC,14/01/2022,14/01/2022, Đang Hoạt Động ,"Thửa Đất Số 1111, Tờ Bản Đồ Số 01, Ấp Long Phú, Xã Long Định, Huyện Bình Đại, Bến Tre",1301113866,0945278287,Công Ty TNHH MTV Ngoài Quốc Doanh,Trần Phú Lộc
CÔNG TY TNHH MTV TIÊN TIÊN - LA,14/01/2022,14/01/2022, Đang Hoạt Động ,"Kdc Nam Long, Xã An Thạnh, Huyện Bến Lức, Long An",1102002833,079 6 976 368,Công Ty TNHH MTV Ngoài Quốc Doanh,Phạm Thị Tuyết Linh
CÔNG TY TNHH CÔNG TY TNHH VẬT LIỆU HÓA CHẤT KIỆT NHỰA,14/01/2022,14/01/2022, Đang Hoạt Động ,"Số 868, Tỉnh Lộ 825, Ấp Bình Thủy, Xã Hòa Khánh Đông, Huyện Đức Hoà, Long An",1102002777,0938082298,Công Ty TNHH MTV Ngoài Quốc Doanh,Trang Minh Quân
CHI NHÁNH CÔNG TY TNHH DỊCH VỤ KHÁCH SẠN MASSAGE ĐIỂM NHỚ,14/01/2022,14/01/2022, Đang Hoạt Động ,"Số 38, Ấp 1, Xã Thạnh Đức, Huyện Bến Lức, Long An",1101993927-001,0908461523,Công Ty TNHH MTV Ngoài Quốc Doanh,Nguyễn Ngọc Dung
CÔNG TY TNHH SX VÀ DV TM NHẬT NAM,14/01/2022,14/01/2022, Đang Hoạt Động ,"Thôn Hoàng Nha, Xã Minh Hải, Huyện Văn Lâm, Hưng Yên",0901115687,0367736666,Công Ty TNHH MTV Ngoài Quốc Doanh,Nguyễn Ngọc Phong
CÔNG TY TNHH ĐẦU TƯ VÀ THƯƠNG MẠI 99,14/01/2022,14/01/2022, Đang Hoạt Động ,"Trạm Dừng Nghỉ Cầu Rẽ Ninh Bình, Thôn Đình Ngọ, Xã Tiên Hiệp, Thành Phố Phủ Lý, Hà Nam",0700858682,0912159228,Công Ty TNHH 2 TV Trở Lên Ngoài Quốc Doanh (100% Vốn Tư Nhân),Chu Minh Quân
CÔNG TY TNHH ĐẦU TƯ VÀ THƯƠNG MẠI TÀI CHUNG,14/01/2022,14/01/2022, Đang Hoạt Động ,"Số Nhà 183, Đường Lý Thái Tổ, Phường Lê Hồng Phong, Thành Phố Phủ Lý, Hà Nam",0700858675,0913067330,Công Ty TNHH 2 TV Trở Lên Ngoài Quốc Doanh (100% Vốn Tư Nhân),Đinh Văn Tài
CÔNG TY TNHH BẤT ĐỘNG SẢN HẢI PHÚ,14/01/2022,14/01/2022, Đang Hoạt Động ,"Xóm 2 Phú Thọ, Xã Nghĩa Hải, Huyện Nghĩa Hưng, Nam Định",0601230583,0942111679,Công Ty TNHH 2 TV Trở Lên Ngoài Quốc Doanh (100% Vốn Tư Nhân),Trần Thành Nguyên
CÔNG TY TNHH LỘC PHONG NAM ĐỊNH,14/01/2022,14/01/2022, Đang Hoạt Động ,"Thôn Ba Hạ, Xã Hoàng Nam, Huyện Nghĩa Hưng, Nam Định",0601230576,0865888688,Công Ty TNHH MTV Ngoài Quốc Doanh,Bùi Quang Trường
CÔNG TY TNHH BẢO VỆ ĐẠI AN MINH,14/01/2022,14/01/2022, Đang Hoạt Động ,"Khu Tái Định Cư Trần Nhân Tông, Phường Trần Quang Khải, Thành Phố Nam Định, Nam Định",0601230569,0908846666,Công Ty TNHH 2 TV Trở Lên Ngoài Quốc Doanh (100% Vốn Tư Nhân),Nguyễn Xuân Hồng
CÔNG TY TNHH XNK HẢI THỊNH PHÁT,14/01/2022,14/01/2022, Đang Hoạt Động ,"87 Lý Nhật Quang, Phường Nại Hiên Đông, Quận Sơn Trà, Đà Nẵng",0402132415,0989516688,Công Ty TNHH MTV Ngoài Quốc Doanh,Lê Thị Dung
CÔNG TY TNHH TM&DV THIÊN PHÚ ASIAN,14/01/2022,14/01/2022, Đang Hoạt Động ,"K87/06B Dũng Sỹ Thanh Khê, Phường Thanh Khê Tây, Quận Thanh Khê, Đà Nẵng",0402132380,0905267367,Công Ty TNHH 2 TV Trở Lên Ngoài Quốc Doanh (100% Vốn Tư Nhân),Nguyễn Tấn Ban
CÔNG TY TNHH CÔNG NGHỆ XIXA VIỆT NAM,14/01/2022,14/01/2022, Đang Hoạt Động ,"56 Thanh Tịnh, Phường Hoà Minh, Quận Liên Chiểu, Đà Nẵng",0402132366,0987955887,Công Ty TNHH 2 TV Trở Lên Ngoài Quốc Doanh (100% Vốn Tư Nhân),Nguyễn Minh Vương
CÔNG TY CỔ PHẦN TƯ VẤN VÀ XÂY DỰNG Q&R,14/01/2022,14/01/2022, Đang Hoạt Động ,"H06/21 K339 Trường Chinh, Phường An Khê, Quận Thanh Khê, Đà Nẵng",0402132359,0389 748 021,Công Ty Cổ Phần Ngoài Quốc Doanh (100% Vốn Tư Nhân),Lê Gia Bảo
CÔNG TY CỔ PHẦN THƯƠNG MẠI DỊCH VỤ NGUYỄN FAMILY,14/01/2022,14/01/2022, Đang Hoạt Động ,"34 Lê Quang Đạo, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng",0402132327,0898855588,Công Ty Cổ Phần Ngoài Quốc Doanh (100% Vốn Tư Nhân),Nguyễn Thị Dung
CÔNG TY CỔ PHẦN SMARTCHAIN,14/01/2022,14/01/2022, Đang Hoạt Động ,"Đường Số 14, Khu Công Nghiệp Hòa Cầm, Phường Hoà Thọ Tây, Quận Cẩm Lệ, Đà Nẵng",0402132292,0982232727,Công Ty Cổ Phần Ngoài Quốc Doanh (100% Vốn Tư Nhân),Nguyễn Hà Thanh
CÔNG TY CỔ PHẦN XNK CHẢ BÊ CẦU MỐNG,14/01/2022,14/01/2022, Đang Hoạt Động ,"02 Bế Văn Đàn, Phường Chính Gián, Quận Thanh Khê, Đà Nẵng",0402132285,0917043680,Công Ty Cổ Phần Ngoài Quốc Doanh (100% Vốn Tư Nhân),Trương Thanh Hiên
CÔNG TY TNHH ĐIỆN TỰ ĐỘNG TRÙNG KHÁNH,14/01/2022,14/01/2022, Đang Hoạt Động ,"340/34 Quang Trung, Phường 10, Quận Gò Vấp, Tp Hồ Chí Minh",0317127319,0985 656 044,Công Ty TNHH MTV Ngoài Quốc Doanh,Nguyễn Thị Bích Phượng
CÔNG TY TNHH PHÁT TRIỂN XÂY DỰNG LÂM THỊNH,14/01/2022,14/01/2022, Đang Hoạt Động ,"F4/17C3 Ấp 6C, Đường Liên Ấp 2-6, Xã Vĩnh Lộc A, Huyện Bình Chánh, Tp Hồ Chí Minh",0317127301,0976 376 233,Công Ty TNHH MTV Ngoài Quốc Doanh,Hồ Bửu Lâm
CÔNG TY TNHH SNUG PUB,14/01/2022,14/01/2022, Đang Hoạt Động ,"56 Tôn Thất Thiệp, Phường Bến Nghé, Quận 1, Tp Hồ Chí Minh",0317127291,0977482239,Công Ty TNHH MTV Ngoài Quốc Doanh,Trần Thị Huỳnh Như
CÔNG TY TNHH TM DV THIỆN PHÁT COSMETICS,14/01/2022,14/01/2022, Đang Hoạt Động ,"208/26/56/2 Đường Số 5, Phường Bình Hưng Hòa, Quận Bình Tân, Tp Hồ Chí Minh",0317127277,0909942868,Công Ty TNHH 2 TV Trở Lên Ngoài Quốc Doanh (100% Vốn Tư Nhân),Trương Thị Hồng
CÔNG TY TNHH CHẾ BIẾN NÔNG SẢN LÊ HỒNG,14/01/2022,14/01/2022, Đang Hoạt Động ,"208/55 Đường Tbđ 22, Ấp Mỹ Hoà 4, Xã Xuân Thới Đông, Huyện Hóc Môn, Tp Hồ Chí Minh",0317127252,0937555453,Công Ty TNHH MTV Ngoài Quốc Doanh,Lê Thị Hồng
CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ BÙI TRUNG HIẾU,14/01/2022,14/01/2022, Đang Hoạt Động ,"157 Trần Thị Hè, Tổ 43A Khu Phố 4, Phường Hiệp Thành, Quận 12, Tp Hồ Chí Minh",0317127245,0898980014,Công Ty TNHH MTV Ngoài Quốc Doanh,Bùi Trung Hiếu
CÔNG TY TNHH PHÚC AN KHANG - NHÀ HÀNG ẨM THỰC 79,14/01/2022,14/01/2022, Đang Hoạt Động ,"286B Hòa Bình, Phường Hiệp Tân, Quận Tân Phú, Tp Hồ Chí Minh",0317127238,0933536179,Công Ty TNHH 2 TV Trở Lên Ngoài Quốc Doanh (100% Vốn Tư Nhân),Trần Thị Ngọc Hân
CÔNG TY TNHH THANG MÁY CHUYÊN CHỞ NIỀM TIN,14/01/2022,14/01/2022, Đang Hoạt Động ,"1/68B Mễ Cốc, Phường 15, Quận 8, Tp Hồ Chí Minh",0317127213,0908530384,Công Ty TNHH MTV Ngoài Quốc Doanh,Phùng Tế Quần
CÔNG TY CỔ PHẦN AN GIA TRUNG,14/01/2022,14/01/2022, Đang Hoạt Động ,"2/27/5 Nguyễn Thượng Hiền, Phường 5, Quận Bình Thạnh, Tp Hồ Chí Minh",0317127118,0848429999,Công Ty Cổ Phần Ngoài Quốc Doanh (100% Vốn Tư Nhân),Lê Minh Trung
CÔNG TY TNHH SẢN XUẤT XÂY DỰNG THƯƠNG MẠI HHT,14/01/2022,14/01/2022, Đang Hoạt Động ,"Tầng 10, Toà Nhà Pax Sky, 51 Nguyễn Cư Trinh, Phường Nguyễn Cư Trinh, Quận 1, Tp Hồ Chí Minh",0317127100,0904067886,Công Ty TNHH MTV Ngoài Quốc Doanh,Nguyễn Văn Thạch
CÔNG TY TNHH DỊCH VỤ LOGISTICS Á CHÂU,14/01/2022,14/01/2022, Đang Hoạt Động ,"67 Bình Lợi, Phường 13, Quận Bình Thạnh, Tp Hồ Chí Minh",0317127090,0919543344,Công Ty TNHH MTV Ngoài Quốc Doanh,Nguyễn Thị Kim Cương
CÔNG TY TNHH THƯƠNG MẠI MỸ THUẬT PHÚ GIA KHANG,14/01/2022,14/01/2022, Đang Hoạt Động ,"129/42, Phan Văn Hớn, Phường Tân Thới Nhất, Quận 12, Tp Hồ Chí Minh",0317127083,0977187898,Công Ty TNHH MTV Ngoài Quốc Doanh,Huỳnh Tấn Phúc
CÔNG TY TNHH VẬN CHUYỂN TRẦN KHANH,14/01/2022,14/01/2022, Đang Hoạt Động ,"82 Đường D7, Khu Dân Cư An Thiên Lý, Phường Phước Long B, Thành Phố Thủ Đức (Hết Hl), Tp Hồ Chí Minh",0317127076,0907218026,Công Ty TNHH MTV Ngoài Quốc Doanh,Trần Tuấn Anh
CÔNG TY TNHH TM TUYẾT TRINH,14/01/2022,14/01/2022, Đang Hoạt Động ,"F8/37 Ấp 6, Xã Vĩnh Lộc B, Huyện Bình Chánh, Tp Hồ Chí Minh",0317127069,0903766147,Công Ty TNHH MTV Ngoài Quốc Doanh,Lê Thị Kim Anh
CÔNG TY TNHH DỊCH VỤ TOÀN THÀNH PHÁT WATER,14/01/2022,14/01/2022, Đang Hoạt Động ,"146/70C Vũ Tùng, Phường 2, Quận Bình Thạnh, Tp Hồ Chí Minh",0317127051,0938005276,Công Ty TNHH MTV Ngoài Quốc Doanh,Nguyễn Thương
CÔNG TY TNHH THẨM MỸ VIỆN AUTO NĂM KỸ,14/01/2022,20/02/2022, Đang Hoạt Động ,"464/60/8 Nguyễn Văn Quá, Phường Đông Hưng Thuận, Quận 12, Tp Hồ Chí Minh",0317127044,0938693303,Công Ty TNHH 2 TV Trở Lên Ngoài Quốc Doanh (100% Vốn Tư Nhân),Đỗ Chí Đông
CÔNG TY TNHH THƯƠNG MẠI VÀ ĐẦU TƯ VN 77 HOLDING,14/01/2022,14/01/2022, Đang Hoạt Động ,"Số 31 Trần Khắc Chân, Phường Tân Định, Quận 1, Tp Hồ Chí Minh",0317127037,0934126879,Công Ty TNHH MTV Ngoài Quốc Doanh,Nguyễn Minh Hoàng
CÔNG TY TNHH SX TM MÁY XD KIM THOA,14/01/2022,14/01/2022, Đang Hoạt Động ,"332 Nguyễn Oanh, Phường 17, Quận Gò Vấp, Tp Hồ Chí Minh",0317127012,0914025331,Công Ty TNHH MTV Ngoài Quốc Doanh,Nguyễn Thị Thoa
CÔNG TY TNHH QUỐC TẾ MÍT VN,14/01/2022,14/01/2022, Đang Hoạt Động ,"68/3 Ấp Dân Thắng 1, Xã Tân Thới Nhì, Huyện Hóc Môn, Tp Hồ Chí Minh",0317127005,0902884466,Công Ty TNHH MTV Ngoài Quốc Doanh,Bành Anh Tuấn
CÔNG TY TNHH THƯƠNG MẠI XUẤT NHẬP KHẨU VIỄN LỘC,14/01/2022,14/01/2022, Đang Hoạt Động ,"522 Xô Viết Nghệ Tĩnh, Phường 25, Quận Bình Thạnh, Tp Hồ Chí Minh",0317126996,0352606640,Công Ty TNHH 2 TV Trở Lên Ngoài Quốc Doanh (100% Vốn Tư Nhân),Giang Bảo Nhi
CÔNG TY TNHH - TM - DV THÉP TÂM HOÀNG PHÁT,14/01/2022,14/01/2022, Đang Hoạt Động ,"996 Quốc Lộ 13, Khu Phố 2, Ph��Ng Hi�P B�Nh Ph��C, Thành Phố Thủ Đức, Tp Hồ Chí Minh",0317126989,0986363331,Công Ty TNHH MTV Ngoài Quốc Doanh,Lê Văn Tâm
CÔNG TY TNHH ĐẦU TƯ XÂY DỰNG PHÁT TRIỂN AN KHANG,14/01/2022,14/01/2022, Đang Hoạt Động ,"20/1A Đường Trường Lưu, Ph��Ng Long Tr��Ng, Thành Phố Thủ Đức, Tp Hồ Chí Minh",0317126971,0938 157 040,Công Ty TNHH 2 TV Trở Lên Ngoài Quốc Doanh (100% Vốn Tư Nhân),Lê Trung Hiếu
CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI DỊCH VỤ XÂY DỰNG KIM HƯNG,14/01/2022,14/01/2022, Đang Hoạt Động ,"Số 271 Đường Hoàng Văn Thụ, Phường 2, Quận Tân Bình, Tp Hồ Chí Minh",0317126964,0586 692 009,Công Ty TNHH 2 TV Trở Lên Ngoài Quốc Doanh (100% Vốn Tư Nhân),Lâm Ngọc Phương Anh
CÔNG TY TNHH TƯ VẤN THIẾT KẾ XÂY DỰNG DCONS,14/01/2022,14/01/2022, Đang Hoạt Động ,"361/23/5 Phan Huy Ích, Phường 14, Quận Gò Vấp, Tp Hồ Chí Minh",0317126957,0932268239,Công Ty TNHH MTV Ngoài Quốc Doanh,Nguyễn Đức Quý
CÔNG TY TNHH THƯƠNG MẠI PHỤNG THIÊN ANH,14/01/2022,14/01/2022, Đang Hoạt Động ,"106/16 Đường 14, Phường 8, Quận Gò Vấp, Tp Hồ Chí Minh",0317126932,0936309896,Công Ty TNHH MTV Ngoài Quốc Doanh,Lưu Thị Vân Phụng
CÔNG TY TNHH DỊCH VỤ ĐẦU TƯ BẤT ĐỘNG SẢN TK REAL,14/01/2022,14/01/2022, Đang Hoạt Động ,"306 Nguyễn Gia Trí, Phường 25, Quận Bình Thạnh, Tp Hồ Chí Minh",0317126925,0773924777,Công Ty TNHH MTV Ngoài Quốc Doanh,Hồ Lê Huyền Trang
CÔNG TY TNHH TƯ VẤN P&A,14/01/2022,14/01/2022, Đang Hoạt Động ,"37 Đường Số 7, Phường 3, Quận Gò Vấp, Tp Hồ Chí Minh",0317126918,0902586374,Công Ty TNHH MTV Ngoài Quốc Doanh,Nguyễn Minh Tuấn
CÔNG TY TNHH XUẤT NHẬP KHẨU SUPER-FASHION GARMENT,14/01/2022,14/01/2022, Đang Hoạt Động ,"Số 88/79- 88/81 Đường Số18, Phường Bình Hưng Hòa, Quận Bình Tân, Tp Hồ Chí Minh",0317126812,0937056168,Công Ty TNHH MTV Ngoài Quốc Doanh,Tằng Nhục Dính
CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ XUẤT NHẬP KHẨU MỘC NHA,14/01/2022,14/01/2022, Đang Hoạt Động ,"141/7/46 Đường Số 11, Khu Phố 12, Phường Bình Hưng Hòa, Quận Bình Tân, Tp Hồ Chí Minh",0317126805,0336425426,Công Ty TNHH MTV Ngoài Quốc Doanh,Võ Thị Minh Thư
CÔNG TY TNHH MUSAN,14/01/2022,11/01/2022, Đang Hoạt Động ,"57/27 Đường Đình Tân Khai, Phường Bình Trị Đông, Quận Bình Tân, Tp Hồ Chí Minh",0317126795,0917273765,Công Ty TNHH MTV Ngoài Quốc Doanh,Lê Hoàng Đức
CÔNG TY TNHH MTV TẤN BÌNH AN,14/01/2022,14/01/2022, Đang Hoạt Động ,"108 Tôn Thất Hiệp, Phường 13, Quận 11, Tp Hồ Chí Minh",0317126756,0333865866,Công Ty TNHH MTV Ngoài Quốc Doanh,Văn Ngọc Tấn
CÔNG TY TNHH THƯƠNG MẠI MINH THÀNH ĐẠT,14/01/2022,14/01/2022, Đang Hoạt Động ,"0.10 Tầng 1, Block B1, Chung Cư Bông Sao, Đường 892 Tạ Quang, Phường 5, Quận 8, Tp Hồ Chí Minh",0317126682,056 4422389,Công Ty TNHH MTV Ngoài Quốc Doanh,Bùi Trung Thông
CÔNG TY TNHH ĐỒ UỐNG VÀ THỰC PHẨM ĐẠI LỘC,14/01/2022,14/01/2022, Đang Hoạt Động ,"39 Hoa Cúc, Phường 07, Quận Phú Nhuận, Tp Hồ Chí Minh",0317126675,0903007048,Công Ty TNHH 2 TV Trở Lên Ngoài Quốc Doanh (100% Vốn Tư Nhân),Nguyễn Thị Bích Nhạn
CÔNG TY TNHH TN TECHNOLOGY VIỆT NAM,14/01/2022,14/01/2022, Đang Hoạt Động ,"702 Xa Lộ Hà Nội, Ph��Ng Hi�P Ph�, Thành Phố Thủ Đức, Tp Hồ Chí Minh",0317126636,0939542805,Công Ty TNHH MTV Ngoài Quốc Doanh,Nguyễn Thị Thanh Hiền
CÔNG TY TNHH DỊCH VỤ VÀ KINH DOANH TÂM TÍN PHÁT,14/01/2022,14/01/2022, Đang Hoạt Động ,"239 Bàu Cát, Phường 12, Quận Tân Bình, Tp Hồ Chí Minh",0317126611,0985463977,Công Ty TNHH 2 TV Trở Lên Ngoài Quốc Doanh (100% Vốn Tư Nhân),Phan Đặng Đăng Khoa
CÔNG TY CỔ PHẦN BẤT ĐỘNG SẢN TÂY SÀI GÒN,14/01/2022,14/01/2022, Đang Hoạt Động ,"21 Trần Quang Diệu, Phường 14, Quận 3, Tp Hồ Chí Minh",0317126555,028 3997 9909,Công Ty Cổ Phần Ngoài Quốc Doanh (100% Vốn Tư Nhân),Nguyễn Phước Tài
CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ THIÊN ÂN PORCELAIN,14/01/2022,14/01/2022, Đang Hoạt Động ,"34D Đường Nguyễn Thị Măng, Ấp Mỹ Khánh A, Xã Thái Mỹ, Huyện Củ Chi, Tp Hồ Chí Minh",0317126523,0906861089,Công Ty TNHH MTV Ngoài Quốc Doanh,Nguyễn Thị Kim Phụng
CÔNG TY TNHH SÀI GÒN - PARIS - NEW YORK,14/01/2022,14/01/2022, Đang Hoạt Động ,"241 Điện Biên Phủ, Phường Võ Thị Sáu, Quận 3, Tp Hồ Chí Minh",0317126516,0918808888,Công Ty TNHH MTV Ngoài Quốc Doanh,Phạm Thị Hoài Anh
CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ NETBUILDER,14/01/2022,14/01/2022, Đang Hoạt Động ,"149/5 Đất Thánh, Phường 6, Quận Tân Bình, Tp Hồ Chí Minh",0317126509,0903674096,Công Ty TNHH MTV Ngoài Quốc Doanh,Nguyễn Mai Trường Kỳ
CÔNG TY TNHH BAMBOO FLORIST,14/01/2022,14/01/2022, Đang Hoạt Động ,"0.5 Lô B (Chung Cư 64 Xuân Thủy), Số 64 Đường Xuân Thủy, Ph��Ng Th�O �I�N, Thành Phố Thủ Đức, Tp Hồ Chí Minh",0317126474,0903063123,Công Ty TNHH 2 TV Trở Lên Ngoài Quốc Doanh (100% Vốn Tư Nhân),Trần Thanh Tân
CÔNG TY TNHH MMIT VIỆT NAM,14/01/2022,14/01/2022, Đang Hoạt Động ,"Văn Phòng 02, Tầng 08, Tòa Nhà Pearl Plaza, Số 561A Điện Biê, Phường 25, Quận Bình Thạnh, Tp Hồ Chí Minh",0317126428,0933601919,Công Ty TNHH 2 TV Trở Lên Ngoài Quốc Doanh (100% Vốn Tư Nhân),Nguyễn Thanh Tài
CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ Y TẾ GIA VIỆT,14/01/2022,14/01/2022, Đang Hoạt Động ,"413 Nguyễn Thị Định, Ph��Ng C�T L�I, Thành Phố Thủ Đức, Tp Hồ Chí Minh",0317126393,0929085777,Công Ty TNHH MTV Ngoài Quốc Doanh,Trần Thành Thông
CÔNG TY TNHH SEA FOOD NGON,14/01/2022,14/01/2022, Đang Hoạt Động ,"A25 Đường 4A Kdc Him Lam, Phường Tân Hưng, Quận 7, Tp Hồ Chí Minh",0317126386,0924171209,Công Ty TNHH MTV Ngoài Quốc Doanh,Thân Thị Lệ Nguyên
CÔNG TY TRÁCH NHIỆM HỮU HẠN THƯƠNG MẠI DỊCH VỤ HỒNG GIA VỸ,14/01/2022,14/01/2022, Đang Hoạt Động ,"31A Tôn Thất Tùng, Phường Phạm Ngũ Lão, Quận 1, Tp Hồ Chí Minh",0317126379,0976674284,Công Ty TNHH 2 TV Trở Lên Ngoài Quốc Doanh (100% Vốn Tư Nhân),Trần Ngọc Vỹ
CÔNG TY TNHH HAPPY THÁI THỦ ĐỨC,14/01/2022,14/01/2022, Đang Hoạt Động ,"20 Đoàn Kết, Ph��Ng B�Nh Th�, Thành Phố Thủ Đức, Tp Hồ Chí Minh",0317126361,028 3636 1460,Công Ty TNHH MTV Ngoài Quốc Doanh,Đào Thị Thư
CÔNG TY TNHH NHÂN SÂM ÂN THIÊN,14/01/2022,14/01/2022, Đang Hoạt Động ,"Số 98/4 Đường Thạnh Xuân 18, Khu Phố 5, Phường Thạnh Xuân, Quận 12, Tp Hồ Chí Minh",0317126354,0908423357,Công Ty TNHH 2 TV Trở Lên Ngoài Quốc Doanh (100% Vốn Tư Nhân),Lý Thanh Nhàn
